0.11 0.09 0.10 0.12 0.11 0.13 0.13 0.14 0.04 0.16 0.05 -0.03 0.08 0.05 0.04 0.12 0.00 0.01 0.04 0.08 -0.00 1.00
0.14 0.14 0.20 0.16 0.10 0.15 0.10 0.13 0.18 0.12 0.12 0.09 0.12 -0.00 0.04 -0.03 0.10 0.05 0.01 0.15 1.00 -0.00
0.26 0.27 0.24 0.27 0.25 0.27 0.25 0.23 0.18 0.29 0.22 0.24 0.26 0.17 0.13 0.22 0.05 0.12 0.00 1.00 0.15 0.08
0.08 0.07 0.11 0.12 0.09 0.10 0.04 0.06 0.13 0.03 -0.01 0.10 0.09 0.00 0.09 0.06 0.02 0.08 1.00 0.00 0.01 0.04
0.23 0.28 0.25 0.28 0.26 0.26 0.28 0.20 0.21 0.15 0.25 0.27 0.22 0.19 0.19 0.12 0.15 1.00 0.08 0.12 0.05 0.01
0.40 0.39 0.41 0.38 0.40 0.31 0.37 0.35 0.35 0.28 0.24 0.27 0.21 0.14 0.14 0.15 1.00 0.15 0.02 0.05 0.10 0.00
0.29 0.27 0.25 0.30 0.28 0.27 0.28 0.29 0.24 0.22 0.21 0.21 0.14 0.21 0.16 1.00 0.15 0.12 0.06 0.22 -0.03 0.12
0.38 0.37 0.38 0.36 0.41 0.40 0.37 0.39 0.39 0.33 0.25 0.32 0.23 0.14 1.00 0.16 0.14 0.19 0.09 0.13 0.04 0.04
0.40 0.38 0.34 0.38 0.32 0.37 0.33 0.36 0.31 0.29 0.19 0.35 0.23 1.00 0.14 0.21 0.14 0.19 0.00 0.17 -0.00 0.05
0.48 0.46 0.44 0.47 0.39 0.43 0.42 0.42 0.46 0.40 0.41 0.44 1.00 0.23 0.23 0.14 0.21 0.22 0.09 0.26 0.12 0.08
0.62 0.64 0.59 0.57 0.57 0.57 0.48 0.52 0.52 0.42 0.46 1.00 0.44 0.35 0.32 0.21 0.27 0.27 0.10 0.24 0.09 -0.03
0.55 0.57 0.53 0.53 0.56 0.55 0.55 0.55 0.51 0.37 1.00 0.46 0.41 0.19 0.25 0.21 0.24 0.25 -0.01 0.22 0.12 0.05
0.61 0.57 0.59 0.58 0.56 0.55 0.52 0.56 0.48 1.00 0.37 0.42 0.40 0.29 0.33 0.22 0.28 0.15 0.03 0.29 0.12 0.16
0.67 0.66 0.67 0.60 0.61 0.61 0.61 0.59 1.00 0.48 0.51 0.52 0.46 0.31 0.39 0.24 0.35 0.21 0.13 0.18 0.18 0.04
0.74 0.71 0.71 0.72 0.69 0.70 0.65 1.00 0.59 0.56 0.55 0.52 0.42 0.36 0.39 0.29 0.35 0.20 0.06 0.23 0.13 0.14
0.76 0.73 0.74 0.71 0.69 0.69 1.00 0.65 0.61 0.52 0.55 0.48 0.42 0.33 0.37 0.28 0.37 0.28 0.04 0.25 0.10 0.13
0.84 0.85 0.83 0.76 0.77 1.00 0.69 0.70 0.61 0.55 0.55 0.57 0.43 0.37 0.40 0.27 0.31 0.26 0.10 0.27 0.15 0.13
0.82 0.81 0.83 0.77 1.00 0.77 0.69 0.69 0.61 0.56 0.56 0.57 0.39 0.32 0.41 0.28 0.40 0.26 0.09 0.25 0.10 0.11
0.87 0.84 0.84 1.00 0.77 0.76 0.71 0.72 0.60 0.58 0.53 0.57 0.47 0.38 0.36 0.30 0.38 0.28 0.12 0.27 0.16 0.12
0.92 0.92 1.00 0.84 0.83 0.83 0.74 0.71 0.67 0.59 0.53 0.59 0.44 0.34 0.38 0.25 0.41 0.25 0.11 0.24 0.20 0.10
0.93 1.00 0.92 0.84 0.81 0.85 0.73 0.71 0.66 0.57 0.57 0.64 0.46 0.38 0.37 0.27 0.39 0.28 0.07 0.27 0.14 0.09
1.00 0.93 0.92 0.87 0.82 0.84 0.76 0.74 0.67 0.61 0.55 0.62 0.48 0.40 0.38 0.29 0.40 0.23 0.08 0.26 0.14 0.11
