-2.72          6.08
-2.67          5.70
-2.60          5.32
-2.54          4.96
-2.50          4.73
-2.46          4.45
-2.38          4.13
-2.26          3.51
-2.10          2.81
-1.97          2.26
-1.84          1.78
-1.70          1.31
-1.61          1.07
-1.54          0.91
-1.47          0.76
-1.38          0.55
-1.30          0.40
-1.22          0.30
-1.14          0.20
-1.07          0.13
-0.81          0.02
-0.63          0.06
-0.50          0.14
-0.39          0.26
-0.32          0.37
-0.19          0.55
-0.08          0.79
-0.01          0.91
 0.14          1.31
 0.25          1.63
 0.35          1.97
 0.45          2.30
 0.54          2.60
 0.69          3.24
 0.84          3.94
 0.95          4.50
 1.06          5.05
 1.24          5.88
 1.34          6.55
 1.42          7.07
 1.55          7.82
 1.67          8.71
 1.80          9.44
 1.85          9.85
